Date,NC LONG,NC SHORT,NC SPREAD,C LONG,C SHORT,TOT LONG,TOT SHORT,NR LONG,NR SHORT
2022-05-03,293082,612018,84176,3178614,2668894,3555872,3365088,262964,453748
2022-05-10,291527,617201,83263,3167247,2664864,3542037,3365328,271640,448349
2022-05-17,298615,558839,134238,3074092,2656463,3506945,3349540,284595,442000
2022-05-24,405475,526002,124318,3093412,2801364,3623205,3451684,388207,559728
2022-05-31,348119,565907,74197,3096723,2729368,3519039,3369472,285676,435243
2022-06-07,359715,582262,80447,3061190,2651727,3501352,3314436,283380,470296
2022-06-14,374601,565672,70664,3141449,2768768,3586714,3405104,302708,484318
2022-06-21,373807,477898,67914,3119594,2830101,3561315,3375913,292913,478315
2022-06-28,330759,533423,46495,3293540,2920109,3670794,3500027,291486,462253
2022-07-05,280011,534464,61957,3368874,2963921,3710842,3560342,303153,453653
2022-07-12,274551,565674,51745,3340256,2921522,3666552,3538941,301482,429093
2022-07-19,284416,542431,40272,3302273,2901343,3626961,3484046,289136,432051
2022-07-26,314696,629869,42687,3348396,2898527,3705779,3571083,283150,417846
2022-08-02,327896,663841,57289,3232238,2801582,3617423,3522712,317840,412551
2022-08-09,298631,649634,57531,3249286,2768020,3605448,3475185,295805,426068
2022-08-16,265741,733116,98795,3402691,2781223,3767227,3613134,299503,453596
2022-08-23,286071,789596,120926,3404183,2767870,3811180,3678392,314700,447488
2022-08-30,227425,792881,101477,3395892,2701511,3724794,3595869,312291,441216
2022-09-06,264384,770275,64676,3375543,2716194,3704603,3551145,304706,458164
2022-09-13,276668,798127,40721,3365483,2688534,3682872,3527382,299655,455145
2022-09-20,266452,760256,50388,3366448,2726720,3683288,3537364,291033,436957
2022-09-27,286492,728458,46555,3365684,2798196,3698731,3573209,300659,426181
2022-10-04,234418,717450,39468,3425691,2800518,3699577,3557436,296148,438289
2022-10-11,243772,727692,36881,3456189,2854504,3736842,3619077,303741,421506
2022-10-18,219782,707359,34303,3434617,2847778,3688702,3589440,311325,410587
2022-10-25,239313,701058,48885,3479211,2933054,3767409,3682997,320339,404751
2022-11-01,213179,750166,53938,3559701,2929804,3826818,3733908,313942,406852
2022-11-08,305068,804523,60793,3588425,2976079,3954286,3841395,327034,439925
2022-11-15,309373,856991,81395,3632210,3000003,4022978,3938389,310934,395523
2022-11-22,334470,858124,84253,3543063,2942502,3961786,3884879,364732,441639
2022-11-29,316986,846335,132463,3544108,2925586,3993557,3904384,309862,399035
2022-12-06,229001,887607,60328,3537413,2767189,3826742,3715124,303580,415198
2022-12-13,241345,932882,48120,3519766,2745744,3809231,3726746,304790,387275
2022-12-20,240592,903186,48907,3538409,2820469,3827908,3772562,316694,372040
2022-12-27,239019,894547,54005,3531662,2807433,3824686,3755985,309886,378587
2023-01-03,290221,943140,52442,3553482,2844424,3896145,3840006,317117,373256
2023-01-10,235968,859119,61307,3471933,2814289,3769208,3734715,326120,360613
2023-01-17,220650,901305,58331,3538627,2849054,3817608,3808690,341784,350702
2023-01-24,259978,898715,58916,3489305,2855485,3808199,3813116,354429,349512
2023-01-31,224985,957941,73919,3538717,2815772,3837621,3847632,340298,330287
2023-02-07,296996,965538,94563,3530214,2891551,3921773,3951652,319503,289624
2023-02-14,341404,930795,131582,3494067,2877467,3967053,3939844,325411,352620
2023-02-21,331329,930578,120563,3534403,2903022,3986295,3954163,401556,433688
2023-02-28,295800,948677,89122,3467262,2760946,3852184,3798745,329984,383423
2023-03-07,312910,968790,59225,3525761,2792905,3897896,3820920,334384,411360
2023-03-14,423700,980912,51384,3532646,2947703,4007730,3979999,342922,370653
2023-03-21,389000,1020568,38985,3586593,2960148,4014578,4019701,335724,330601
2023-03-28,343241,1025596,47255,3611307,2983129,4001803,4055980,377097,322920
2023-04-04,276432,1057671,59599,3791191,3036221,4127222,4153491,366353,340084
2023-04-11,312076,1074057,60254,3708958,2986256,4081288,4120567,365278,325999
2023-04-18,270063,1024565,60683,3775123,3058490,4105869,4143738,366773,328904
2023-04-25,307640,1176928,62347,3846432,3009223,4216419,4248498,359672,327593
2023-05-02,349381,1259611,78365,3971947,3090597,4399693,4428573,360849,331969
2023-05-09,477767,1388409,100451,4146935,3274633,4725153,4763493,361166,322826
2023-05-16,435965,1359878,119057,4177142,3304427,4732164,4783362,368639,317441
2023-05-23,423353,1357422,99318,4186028,3303421,4708699,4760161,396832,345370
2023-05-30,338249,1322086,100280,4064536,3142076,4503065,4564442,368659,307282
2023-06-06,326795,1353854,78988,4085049,3068398,4490832,4501240,359182,348774
2023-06-13,353226,1388622,53379,4157791,3135858,4564396,4577859,352776,339313
2023-06-20,394457,1353283,61157,4129490,3198319,4585104,4612759,363566,335911
2023-06-27,363591,1362079,68797,4235733,3261074,4668121,4691950,354521,330692
2023-07-03,348230,1378044,61002,4297985,3271298,4707217,4710344,373393,370266
2023-07-11,425779,1481863,44839,4410220,3412276,4880838,4938978,377047,318907
2023-07-18,355966,1501455,60748,4540528,3441514,4957242,5003717,376738,330263
2023-07-25,352562,1490413,44426,4568106,3475016,4965094,5009855,383631,338870
2023-08-01,358846,1615892,50545,4751696,3542077,5161087,5208514,396389,348962
2023-08-08,442034,1672341,70394,4816393,3630517,5328821,5373252,383036,338605
2023-08-15,453025,1644320,99739,4804142,3693947,5356906,5438006,411812,330712
2023-08-22,512994,1556576,138658,4735830,3749493,5387482,5444727,423158,365913
2023-08-29,389313,1393936,73693,4468271,3581433,4931277,5049062,450460,332675
2023-09-05,424157,1480425,51759,4525006,3555593,5000922,5087777,414910,328055
2023-09-12,465279,1496309,56676,4464077,3509633,4986032,5062618,405798,329212
2023-09-19,509220,1516166,69672,4538043,3596848,5116935,5182686,394180,328429
2023-09-26,492741,1518523,72165,4610560,3645955,5175466,5236643,404260,343083
2023-10-03,505566,1599038,64896,4657206,3629962,5227668,5293896,403076,336848
2023-10-10,538157,1640506,63400,4748243,3717346,5349800,5421252,396630,325178
2023-10-17,481875,1612962,59803,4763122,3698504,5304800,5371269,397566,331097
2023-10-24,524737,1533640,84172,4567066,3620265,5175975,5238077,395064,332962
2023-10-31,469045,1660634,83070,4790920,3679979,5343035,5423683,403102,322454
2023-11-07,433571,1856955,120101,5052590,3718168,5606262,5695224,413572,324610
2023-11-14,448867,1865107,140835,5057978,3766695,5647680,5772637,436788,311831
2023-11-21,468516,1937149,207197,5059026,3741750,5734739,5886096,438221,286864
2023-11-28,458979,1857479,181040,4994986,3744105,5635005,5782624,446125,298506
2023-12-05,413024,1842451,58998,4864463,3571884,5336485,5473333,438764,301916
2023-12-12,460211,1800331,58739,4790468,3583597,5309418,5442667,427616,294367
2023-12-19,398328,1786550,67406,4829927,3588758,5295661,5442714,425416,278363
2023-12-26,406283,1719724,70760,4822943,3684615,5299986,5475099,442613,267500
2024-01-02,388112,1677572,105216,4874051,3727359,5367379,5510147,429937,287169
2024-01-09,443301,1613483,75467,4841923,3833326,5360691,5522276,438210,276625
2024-01-16,470260,1667097,71435,4939008,3893125,5480703,5631657,432568,281614
2024-01-23,481506,1712695,71792,5010369,3938719,5563667,5723206,435142,275603
2024-01-30,474604,1667582,78175,4958885,3916830,5511664,5662587,426265,275342
2024-02-06,428323,1725490,72685,4926553,3751428,5427561,5549603,405692,283650
2024-02-13,417558,1733851,89695,4996200,3780810,5503453,5604356,397262,296359
2024-02-20,423001,1656301,173453,5017564,3871304,5614018,5701058,386235,299195
2024-02-27,382396,1577789,173935,5074656,4015853,5630987,5767577,428067,291477
2024-03-05,359473,1651360,74847,4978171,3797058,5412491,5523265,402711,291937
2024-03-12,355674,1617808,104721,4992128,3842986,5452523,5565515,404802,291810
2024-03-19,395194,1552251,129668,4907528,3837589,5432390,5519508,406591,319473
2024-03-26,402675,1552185,147629,4975914,3933920,5526218,5633734,415754,308238
2024-04-02,374032,1658333,148995,5155365,3971710,5678392,5779038,410424,309778
2024-04-09,453736,1693156,132788,5069821,3934684,5656345,5760628,414045,309762
2024-04-16,461614,1655836,122540,5000703,3928190,5584857,5706566,431620,309911
2024-04-23,458988,1549277,128671,4946205,3975249,5533864,5653197,426940,307607
2024-04-30,434860,1581458,125357,5032454,3981145,5592671,5687960,422885,327596
2024-05-07,483030,1646879,107540,5038983,3979556,5629553,5733975,429855,325433
2024-05-14,469333,1795438,69504,5284344,4041973,5823181,5906915,412489,328755
2024-05-21,446114,1868919,180230,5370833,4052423,5997177,6101572,433963,329568
2024-05-21,446114,1868919,180230,5370833,4052423,5997177,6101572,433963,329568
2024-05-28,390636,1767753,338677,5430187,4125246,6159500,6231676,485314,413138
2024-06-04,389117,1962154,123033,5308600,3868651,5820750,5953838,427677,294589
2024-06-11,405601,1903025,88619,5334369,3969930,5828589,5961574,431377,298392
