Date,NC LONG,NC SHORT,NC SPREAD,C LONG,C SHORT,TOT LONG,TOT SHORT,NR LONG,NR SHORT
2022-05-03,46995,75511,3785,80147,45922,130927,125218,21330,27039
2022-05-10,36869,78583,4478,91731,44605,133078,127666,20131,25543
2022-05-17,41473,86115,4246,98903,44466,144622,134827,19187,28982
2022-05-24,36579,82025,4020,99401,46132,140000,132177,18615,26438
2022-05-31,32897,81579,4074,97031,45903,134002,131556,19659,22105
2022-06-07,31720,79616,10758,99747,52334,142225,142708,24197,23714
2022-06-14,31660,74914,4264,85591,40881,121515,120059,21342,22798
2022-06-21,31745,72351,4002,82514,37906,118261,114259,18756,22758
2022-06-28,28887,71867,4866,86347,39184,120100,115917,19791,23974
2022-07-05,27622,75243,5568,95252,39544,128442,120355,18508,26595
2022-07-12,30527,72127,5054,106112,53622,141693,130803,16570,27460
2022-07-19,30578,73726,4730,102518,53242,137826,131698,17420,23548
2022-07-26,30024,77409,4690,102398,51797,137112,133896,19361,22577
2022-08-02,30835,86785,4092,115141,53017,150068,143894,17863,24037
2022-08-09,25644,83232,3485,109593,50152,138722,136869,19378,21231
2022-08-16,28835,88083,3632,110918,47448,143385,139163,16660,20882
2022-08-23,32342,92370,4205,114923,50738,151470,147313,17742,21899
2022-08-30,31304,88697,4248,114957,52454,150509,145399,18758,23868
2022-09-06,33305,89805,6707,118817,55033,158829,151545,19403,26687
2022-09-13,29218,87068,10627,120393,53375,160238,151070,22049,31217
2022-09-20,38797,79353,3413,92900,40772,135110,123538,15434,27006
2022-09-27,39006,73659,3477,92836,44838,135319,121974,16982,30327
2022-10-04,36248,64012,4349,82080,43276,122677,111637,16813,27853
2022-10-11,29325,60596,4275,86475,43783,120075,108654,18245,29666
2022-10-18,33046,68405,4743,95474,46503,133263,119651,17233,30845
2022-10-25,32159,83605,4443,115337,49018,151939,137066,15022,29895
2022-11-01,34148,84680,4324,111638,48912,150110,137916,15301,27495
2022-11-08,33288,79971,4049,108584,53361,145921,137381,16602,25142
2022-11-15,33214,77963,4098,110099,55987,147411,138048,15029,24392
2022-11-22,32825,75611,3691,104123,54109,140639,133411,16168,23396
2022-11-29,35045,79675,4129,104506,53600,143680,137404,15698,21974
2022-12-06,36334,76897,4447,101160,58340,141941,139684,16814,19071
2022-12-13,35825,73662,13625,105480,62635,154930,149922,17339,22347
2022-12-20,31779,65894,5757,75507,37079,113043,108730,16213,20526
2022-12-27,32955,69746,5398,72829,34548,111182,109692,18013,19503
2023-01-03,35208,71475,5181,74724,35129,115113,111785,17847,21175
