Date,NC LONG,NC SHORT,NC SPREAD,C LONG,C SHORT,TOT LONG,TOT SHORT,NR LONG,NR SHORT
2022-05-03,419692,97991,621174,620327,986540,1661193,1705705,90371,45859
2022-05-10,415170,104367,616019,614716,969195,1645905,1689581,90689,47013
2022-05-17,416190,90553,614805,611264,975133,1642259,1680491,88406,50174
2022-05-24,422541,87780,618735,584496,959123,1625772,1665638,86091,46225
2022-05-31,421683,88707,654178,622867,996628,1698728,1739513,89200,48415
2022-06-07,423882,95626,651915,622320,991353,1698117,1738894,92501,51724
2022-06-14,409427,106481,610827,604944,946598,1625198,1663906,90476,51768
2022-06-21,388496,98994,588612,594860,918775,1571968,1606381,86668,52255
2022-06-28,396046,96354,574683,599957,927895,1570686,1598932,80880,52634
2022-07-05,394943,114420,559365,601996,906213,1556304,1579998,81558,57864
2022-07-12,375155,106827,564687,590438,884964,1530280,1556478,82523,56325
2022-07-19,374677,103586,549127,580330,874019,1504134,1526732,73482,50884
2022-07-26,368453,109193,554071,595032,878521,1517556,1541785,79895,55666
2022-08-02,361810,108058,554003,616741,889607,1532554,1551668,74356,55242
2022-08-09,338172,127521,517984,636980,875053,1493136,1520558,76995,49573
2022-08-16,346865,131925,492798,638971,878262,1478634,1502985,78715,54364
2022-08-23,341918,95698,492849,595411,863667,1430178,1452214,73328,51292
2022-08-30,332415,103226,471831,588601,844849,1392847,1419906,77360,50301
2022-09-06,326007,111529,475682,599689,840106,1401378,1427317,78942,53003
2022-09-13,340716,113659,480935,600618,844625,1422269,1439219,75790,58840
2022-09-20,342588,102710,476269,589445,851013,1408302,1429992,73243,51553
2022-09-27,333933,107853,497576,598428,845300,1429937,1450729,75054,54262
2022-10-04,331695,89696,504842,587375,848229,1423912,1442767,71626,52771
2022-10-11,345258,86038,493272,584609,868235,1423139,1447545,76359,51953
2022-10-18,336209,84664,476923,568559,842316,1381691,1403903,72740,50528
2022-10-25,335340,86261,465545,566297,834323,1367182,1386129,69760,50813
2022-11-01,346196,91387,464305,576519,852280,1387020,1407972,72032,51080
