Date,NC LONG,NC SHORT,NC SPREAD,C LONG,C SHORT,TOT LONG,TOT SHORT,NR LONG,NR SHORT
2022-05-03,67077,50985,3678,123791,130158,194546,184821,32176,41901
2022-05-10,69222,55753,5493,138897,146996,213612,208242,36309,41679
2022-05-17,69788,54614,5224,132518,141757,207530,201595,36023,41958
2022-05-24,75009,61284,3431,138800,149898,217240,214613,38004,40631
2022-05-31,74438,68827,2651,152616,148741,229705,220219,33375,42861
2022-06-07,83477,66474,3505,147710,148685,234692,218664,33601,49629
2022-06-14,88369,59967,12368,156353,177283,257090,249618,45177,52649
2022-06-21,82888,52082,4246,110913,138499,198047,194827,38577,41797
2022-06-28,78987,54797,4761,128769,148699,212517,208257,35528,39788
2022-07-05,83514,52619,3369,137186,163105,224069,219093,35380,40356
2022-07-12,76972,57556,4104,140774,150363,221850,212023,32410,42237
2022-07-19,76826,48709,5983,139088,158643,221897,213335,34491,43053
2022-07-26,83491,51682,7185,142520,167993,233196,226860,33962,40298
2022-08-02,74918,50206,7182,149773,158867,231873,216255,30452,46070
2022-08-09,73939,52864,4919,149705,150872,228563,208655,30221,50129
2022-08-16,78401,71555,4917,154315,138793,237633,215265,30163,52531
2022-08-23,84287,46254,5238,141083,160062,230608,211554,31550,50604
2022-08-30,77379,50572,5842,148385,151235,231606,207649,32035,55992
2022-09-06,85430,63384,5423,160216,158347,251069,227154,35685,59600
2022-09-13,75279,63473,17571,183440,167895,276290,248939,38679,66030
2022-09-20,73741,70256,3924,165619,144037,243284,218217,28531,53598
2022-09-27,74731,74779,4153,170352,145879,249236,224811,32818,57243
2022-10-04,69796,73557,4972,160883,139553,235651,218082,36520,54089
2022-10-11,84915,76387,5819,156295,146824,247029,229030,34255,52254
2022-10-18,79521,78006,5734,154824,142622,240079,226362,34309,48026
2022-10-25,82491,76791,2855,160822,150174,246168,229820,35422,51770
2022-11-01,74646,89895,7130,166941,137869,248717,234894,33749,47572
2022-11-08,78312,80726,6173,154420,138276,238905,225175,34149,47879
2022-11-15,68167,73423,5301,159326,145980,232794,224704,35634,43724
2022-11-22,67365,64319,3350,145163,141722,215878,209391,36834,43321
2022-11-29,67971,58216,4840,146374,146430,219185,209486,35060,44759
2022-12-06,68737,55220,4696,140334,145355,213767,205271,36335,44831
2022-12-13,73103,53905,19600,183306,196085,276009,269590,36975,43394
2022-12-20,62489,57973,4090,142712,143997,209291,206060,35754,38985
2022-12-27,63763,62591,5895,146596,143682,216254,212168,34527,38613
2023-01-03,59802,58440,4659,145713,141536,210174,204635,34484,40023
2023-01-10,57068,65219,7564,156031,142103,220663,214886,32962,38739
2023-01-17,61621,82254,7708,172926,142382,242255,232344,32760,42671
2023-01-24,60241,85502,7189,173611,136532,241041,229223,32846,44664
2023-01-31,59439,75297,4977,183098,151045,247514,231319,30935,47130
2023-02-07,58310,73229,2818,186780,156628,247908,232675,31398,46631
2023-02-14,54009,76833,3005,184266,140929,241280,220767,34904,55417
2023-02-21,57849,71918,5166,170386,135766,233401,212850,34896,55447
2023-02-28,53946,77775,5986,174322,132318,234254,216079,33999,52174
2023-03-07,55586,68011,7140,165107,129032,227833,204183,32977,56627
2023-03-14,61133,67605,10272,190881,155829,262286,233706,44175,72755
2023-03-21,53063,58183,3112,127004,110146,183179,171441,31697,43435
2023-03-28,51309,58657,2780,132371,117525,186460,178962,33614,41112
2023-04-04,38815,57200,4442,137754,125198,181011,186840,51175,45346
2023-04-11,51607,53737,4019,144976,137056,200602,194812,36868,42658
2023-04-18,58753,56080,3987,147191,140774,209931,200841,35128,44218
2023-04-25,64807,59677,4952,142707,139238,212466,203867,35188,43787
2023-05-02,73543,60253,4698,134889,135390,213130,200341,33832,46621
2023-05-09,80188,58801,7102,131705,142627,218995,208530,36178,46643
2023-05-16,81022,61058,7665,147263,154421,235950,223144,37405,50211
2023-05-23,78974,64465,7417,149830,155499,236221,227381,38954,47794
2023-05-30,87244,78732,7282,166251,161367,260777,247381,37626,51022
