Date,NC LONG,NC SHORT,NC SPREAD,C LONG,C SHORT,TOT LONG,TOT SHORT,NR LONG,NR SHORT
2022-05-03,29516,31057,2243,25830,29497,57589,62797,8956,3748
2022-05-10,28774,27411,2968,26293,31666,58035,62045,8029,4019
2022-05-17,28253,26050,3620,26002,32699,57875,62369,8051,3557
2022-05-24,26052,24567,4237,27002,33685,57291,62489,8533,3335
2022-05-31,27226,24863,5113,27591,34092,59930,64068,8034,3896
2022-06-07,27004,21071,3989,26823,36565,57816,61625,7479,3670
2022-06-14,25085,22871,4737,28194,34987,58016,62595,8597,4018
2022-06-21,25676,24185,2370,28487,34884,56533,61439,8413,3507
2022-06-28,28451,29757,2865,28413,31794,59729,64416,8503,3816
2022-07-05,31920,34654,4127,28155,29825,64202,68606,8693,4289
2022-07-12,32580,38491,4813,29758,28523,67151,71827,8464,3788
2022-07-19,32960,37242,5530,28338,28611,66828,71383,8241,3686
2022-07-26,31027,35495,5830,28217,28388,65074,69713,8349,3710
2022-08-02,28648,31189,5394,26551,28259,60593,64842,7673,3424
2022-08-09,27754,26908,3775,24450,28505,55979,59188,6803,3594
2022-08-16,26218,23278,1820,22749,29110,50787,54208,6467,3046
2022-08-23,26970,27546,3884,24600,27649,55454,59079,6875,3250
2022-08-30,29635,35013,5055,27501,26855,62191,66923,8556,3824
2022-09-06,33598,40349,6536,30451,27299,70585,74184,8025,4426
2022-09-13,30552,32431,3982,26473,28524,61007,64937,7567,3637
2022-09-20,27756,25366,3431,24281,29777,55468,58574,7432,4326
2022-09-27,23944,23783,3433,24942,27467,52319,54683,6675,4311
2022-10-04,25610,22329,1759,21116,28253,48485,52341,7197,3341
2022-10-11,24306,18378,1628,19947,28637,45881,48643,6554,3792
2022-10-18,26385,17891,1501,19406,31038,47292,50430,6436,3298
2022-10-25,28471,17090,2135,18686,33657,49292,52882,6825,3235
2022-11-01,28611,12624,2723,18041,37731,49375,53078,7159,3456
2022-11-08,31065,11616,3599,18181,41476,52845,56691,7456,3610
2022-11-15,33079,10535,5371,17374,44411,55824,60317,7567,3074
2022-11-22,33832,11342,4145,17979,45517,55956,61004,7748,2700
2022-11-29,35268,11009,3976,19824,48586,59068,63571,7400,2897
2022-12-06,36693,11057,4779,20025,50173,61497,66009,7324,2812
2022-12-13,39112,10667,4867,21003,53627,64982,69161,7434,3255
2022-12-20,37373,13321,3057,21169,50693,61599,67071,8422,2950
2022-12-27,36326,11660,2180,20634,50198,59140,64038,7677,2779
2023-01-03,41555,11052,2519,18734,51891,62808,65462,6879,4225
2023-01-10,43745,13043,2511,19128,53474,65384,69028,6832,3188
2023-01-17,40387,16843,2764,19831,48744,62982,68351,8162,2793
2023-01-24,39279,19018,2700,22428,48247,64407,69965,8206,2648
2023-01-31,35098,18961,2638,22808,45021,60544,66620,8577,2501
2023-02-07,30862,20242,2583,23897,40426,57342,63251,8127,2218
2023-02-14,28560,22562,4041,24146,36411,56747,63014,9450,3183
2023-02-21,28058,25153,5148,25638,34032,58844,64333,8655,3166
2023-02-28,27713,22416,6445,25970,35846,60128,64707,7947,3368
2023-03-07,28988,23843,6318,27111,35968,62417,66129,7304,3592
2023-03-14,27423,16850,6942,25445,39767,59810,63559,7007,3258
