Date,NC LONG,NC SHORT,NC SPREAD,C LONG,C SHORT,TOT LONG,TOT SHORT,NR LONG,NR SHORT
5/3/2022,46264,13193,1093,1439,37123,48796,51409,5296,2683
5/10/2022,49864,15088,885,1837,39011,52586,54984,4970,2572
5/17/2022,53519,17306,826,2105,41611,56450,59743,5449,2156
5/24/2022,53675,15636,949,2157,43034,56781,59619,5076,2238
5/31/2022,54859,17321,1044,2355,43682,58258,62047,5605,1816
6/7/2022,55460,17522,1833,2090,43953,59383,63308,5780,1855
6/14/2022,53133,8657,706,1752,49488,55591,58851,5553,2293
6/21/2022,51606,6596,739,1676,48422,54021,55757,4522,2786
6/28/2022,54646,11417,786,2340,48898,57772,61101,5371,2042
7/5/2022,52927,13676,914,2023,43533,55864,58123,4993,2734
7/12/2022,51109,12755,786,2305,43200,54200,56741,5365,2824
7/19/2022,50234,11165,1038,2873,44373,54145,56576,5069,2638
7/26/2022,51337,10802,1400,2492,45805,55229,58007,5227,2449
8/2/2022,47918,8571,1201,2807,44966,51926,54738,5128,2316
8/9/2022,50738,12101,1341,2079,44178,54158,57620,5481,2019
8/16/2022,50782,12821,1206,2078,42751,54066,56778,4843,2131
8/23/2022,49311,14212,1255,1881,39478,52447,54945,5161,2663
8/30/2022,51672,16157,1259,1822,40360,54753,57776,5431,2408
9/6/2022,52607,16500,1667,1912,40370,56186,58537,5476,3125
9/13/2022,48984,13315,2104,5647,44027,56735,59446,5342,2631
9/20/2022,45704,17773,883,2226,33001,48813,51657,5479,2635
9/27/2022,47424,16862,988,2153,34635,50565,52485,5481,3561
10/4/2022,44449,12752,1140,1926,38743,47515,52635,7123,2003
10/11/2022,45079,12293,1265,1708,38555,48052,52113,6563,2502
10/18/2022,44956,12266,1369,1955,38969,48280,52604,6954,2630
10/25/2022,44998,14900,1547,5587,39947,52132,56394,6921,2659
11/1/2022,42304,12516,1417,5761,39092,49482,53025,6460,2917
11/8/2022,42887,12694,1684,5442,39293,50013,53671,6327,2669
11/15/2022,38965,12111,1425,2149,32130,42539,45666,5843,2716
11/22/2022,38310,14245,1217,2020,29972,41547,45434,6171,2284
11/29/2022,37279,12387,1279,2079,30571,40637,44237,6199,2599
12/6/2022,36157,11271,1510,1838,29378,39505,42159,5610,2956
12/13/2022,38766,12988,2276,1245,29727,42287,44991,5782,3078
12/20/2022,32727,15970,1474,1373,21570,35574,39014,5815,2375
12/27/2022,33142,16201,1451,1497,21617,36090,39269,5563,2384
1/3/2023,33171,15410,1553,1588,21792,36312,38755,5538,3095
1/10/2023,33928,17388,1437,1158,20438,36523,39263,5784,3044
1/17/2023,31694,18336,1371,1031,16601,34096,36308,5292,3080
1/24/2023,33291,18128,1347,981,18890,35619,38365,5614,2868
1/31/2023,29221,12684,1568,1042,20818,31831,35070,6309,3070
2/7/2023,24029,11760,2352,1203,16706,27584,30818,5962,2728
2/14/2023,23984,12010,1479,847,16988,26310,30477,6656,2489
2/21/2023,26469,14271,1812,909,17549,29190,33632,6832,2390
2/28/2023,27160,15284,1731,1840,17866,30731,34881,6559,2409
3/7/2023,26665,14109,2523,2321,17953,31509,34585,5434,2358
3/14/2023,26446,12689,1285,2095,19097,29826,33071,5354,2109
3/21/2023,26258,12114,1359,1338,18046,28955,31519,4864,2300
3/28/2023,24552,11833,1294,545,15630,26391,28757,4737,2371
4/4/2023,25574,11468,1326,473,16627,27373,29421,4703,2655
4/11/2023,26090,12826,1354,1006,16018,28450,30198,4626,2878
4/18/2023,25192,14679,1362,3371,15326,29925,31367,4940,3498
4/25/2023,24149,13410,1641,3432,16143,29222,31194,5219,3247
5/2/2023,22988,11638,1573,3128,16425,27689,29636,5085,3138
5/9/2023,21656,10500,1694,3902,16528,27252,28722,4923,3453
5/16/2023,20669,11155,1750,2817,15174,25236,28079,5644,2801
5/23/2023,22194,10954,1752,859,14728,24805,27434,5398,2769
5/30/2023,23927,11159,1691,819,17079,26437,29929,5936,2444
6/6/2023,24791,12572,2161,1280,16443,28232,31176,5698,2754
6/13/2023,22416,8418,2963,1458,18140,26837,29521,5213,2529
6/20/2023,20972,6111,1181,835,17409,22988,24701,4318,2605
6/27/2023,21265,6297,1206,573,17920,23044,25423,4647,2268
7/3/2023,20267,5950,1306,584,17164,22157,24420,4462,2199
