Date,NC LONG,NC SHORT,NC SPREAD,C LONG,C SHORT,TOT LONG,TOT SHORT,NR LONG,NR SHORT
2022-05-03,114213,67177,46371,119484,160866,280068,274414,29911,35565
2022-05-10,111188,71385,46724,117509,153292,275421,271401,33291,37311
2022-05-17,107168,72138,42997,117903,149320,268068,264455,32549,36162
2022-05-24,99928,77181,39922,122357,144510,262207,261613,34015,34609
2022-05-31,102315,82775,40877,121350,139916,264542,263568,34613,35587
2022-06-07,104585,79157,36986,119324,143536,260895,259679,33798,35014
2022-06-14,100918,68174,30706,110947,141067,242571,239947,30976,33600
2022-06-21,102557,62435,32547,109561,148202,244665,243184,31589,33070
2022-06-28,98030,70195,40247,110513,137593,248790,248035,31369,32124
2022-07-05,94773,74744,43084,111320,131911,249177,249739,30936,30374
2022-07-12,92671,70772,35165,111204,133740,239040,239677,31321,30684
2022-07-19,87558,65602,34597,110738,133274,232893,233473,31759,31179
2022-07-26,89822,53895,33853,97766,132651,221441,220399,30957,31999
2022-08-02,88545,51656,32868,98150,135177,219563,219701,31097,30959
2022-08-09,96027,47445,32458,96302,143755,224787,223658,32141,33270
2022-08-16,106713,45325,35500,91932,150682,234145,231507,30154,32792
2022-08-23,110833,48756,38317,92617,152454,241767,239527,31128,33368
2022-08-30,108976,49245,50488,93974,151699,253438,251432,32255,34261
2022-09-06,111433,48603,57972,95824,155709,265229,262284,31503,34448
2022-09-13,116375,47955,52474,97896,160888,266745,261317,31907,37335
2022-09-20,120432,50065,49481,96998,162030,266911,261576,32801,38136
2022-09-27,112897,51930,46175,94742,153069,253814,251174,31567,34207
2022-10-04,98134,55016,45433,93059,137016,236626,237465,34107,33268
2022-10-11,89016,49351,46124,94076,134452,229216,229927,33558,32847
2022-10-18,85057,43401,48674,95288,137403,229019,229478,33243,32784
2022-10-25,105722,41596,55530,90481,152189,251733,249315,30509,32927
2022-11-01,112343,48877,59512,91538,152074,263393,260463,29970,32900
2022-11-08,108040,50611,58660,90893,148808,257593,258079,33924,33438
2022-11-15,98274,50358,52643,98081,147926,248998,250927,35307,33378
2022-11-22,106478,50963,53224,98144,150808,257846,254995,32479,35330
2022-11-29,106265,52231,54318,95838,148360,256421,254909,33215,34727
2022-12-06,108912,53649,54857,95851,147877,259620,256383,32667,35904
2022-12-13,114479,55664,51716,97378,152540,263573,259920,32476,36129
2022-12-20,114144,57699,58119,97739,150857,270002,266675,32132,35459
2022-12-27,124151,56950,66174,96873,159177,287198,282301,31046,35943
2023-01-03,129128,58639,75771,97353,160750,302252,295160,30372,37464
2023-01-10,132029,52035,67893,88511,161473,288433,281401,33907,40939
2023-01-17,126737,52594,60764,95035,162744,282536,276102,32866,39300
2023-01-24,117249,51021,67243,96720,159543,281212,277807,35368,38773
2023-01-31,126874,49651,63490,88274,161232,278638,274373,34568,38833
2023-02-07,135101,40071,66104,81899,170575,283104,276750,35150,41504
2023-02-14,144887,44059,66759,81373,174164,293019,284982,35523,43560
2023-02-21,151310,47036,71593,78368,173556,301271,292185,35012,44098
2023-02-28,159821,52505,84760,82875,181823,327456,319088,35887,44255
2023-03-07,163394,54675,77891,84790,184759,326075,317325,35542,44292
2023-03-14,145485,50012,77039,86199,174317,308723,301368,36513,43868
2023-03-21,118518,48818,72042,88370,156017,278930,276877,37174,39227
2023-03-28,112147,47449,67171,88378,152061,267696,266681,38033,39048
2023-04-04,139994,53820,65800,89218,167407,295012,287027,34675,42660
2023-04-11,144362,49746,67031,88301,176050,299694,292827,35140,42007
2023-04-18,155956,53884,65887,88017,180797,309860,300568,33970,43262
2023-04-25,156838,54804,70552,88281,180731,315671,306087,33814,43398
2023-05-02,157484,52698,70239,88865,182497,316588,305434,30692,41846
2023-05-09,143113,45276,57615,84422,174404,285150,277295,32565,40420
2023-05-16,145708,43592,58251,87076,179432,291035,281275,31929,41689
2023-05-23,151178,49531,58528,89344,179235,299050,287294,32235,43991
2023-05-30,151401,50023,56522,89705,180062,297628,286607,31082,42103
2023-06-06,150516,44895,60275,89224,186546,300015,291716,31127,39426
2023-06-13,159929,47680,60819,92155,192629,312903,301128,29219,40994
2023-06-20,155744,49808,60050,92892,186954,308686,296812,29165,41039
2023-06-27,153077,49988,62682,93640,186006,309399,298676,27967,38690
2023-07-03,153517,48074,64483,100089,192108,318089,304665,27594,41018
2023-07-11,158299,49798,64347,97764,192232,320410,306377,28762,42795
