Date,NC LONG,NC SHORT,NC SPREAD,C LONG,C SHORT,TOT LONG,TOT SHORT,NR LONG,NR SHORT
5/3/2022,360949,308742,59688,1543020,1601817,1963657,1970247,245017,238427
5/10/2022,383989,262214,78189,1549864,1666674,2012042,2007077,249914,254879
5/17/2022,351658,285012,65495,1598562,1651224,2015715,2001731,236394,250378
5/24/2022,351650,302762,58373,1613493,1642313,2023516,2003448,238655,258723
5/31/2022,326979,305072,58392,1637788,1635056,2023159,1998520,237308,261947
6/7/2022,320321,337345,60020,1648514,1596656,2028855,1994021,238565,273399
6/14/2022,377967,343689,170284,1828887,1857751,2377138,2371724,277261,282675
6/21/2022,273629,387948,50473,1713053,1568856,2037155,2007277,224849,254727
6/28/2022,248313,387539,50414,1726190,1557785,2024917,1995738,223854,253033
7/5/2022,237370,421052,53162,1791046,1569421,2081578,2043635,227663,265606
7/12/2022,224577,440105,57566,1802289,1554602,2084432,2052273,233148,265307
7/19/2022,250387,458535,68714,1792747,1526401,2111848,2053650,223471,281669
7/26/2022,240642,478277,65391,1795164,1505074,2101197,2048742,221627,274082
8/2/2022,237594,469479,65573,1786757,1493620,2089924,2028672,220741,281993
8/9/2022,227064,471325,68317,1785298,1473057,2080679,2012699,218709,286689
8/16/2022,227370,515354,65210,1826100,1471883,2118680,2052447,227544,293777
8/23/2022,226314,488590,63232,1811741,1483326,2101287,2035148,228251,294390
8/30/2022,240653,480285,63578,1800768,1488953,2104999,2032816,224954,297137
9/6/2022,226374,465094,70917,1789211,1487929,2086502,2023940,227788,290350
9/13/2022,234795,515799,99294,1986386,1616102,2320475,2231195,282571,371851
9/20/2022,221158,440609,53019,1681942,1368244,1956119,1861872,184903,279150
9/27/2022,262797,412998,66887,1717571,1484604,2047255,1964489,186623,269389
10/4/2022,225671,434968,68069,1732378,1485237,2026118,1988274,235167,273011
10/11/2022,251711,415768,74334,1728601,1533372,2054646,2023474,223148,254320
10/18/2022,240651,463849,78122,1794564,1535949,2113337,2077920,223229,258646
10/25/2022,240817,459919,97386,1805765,1558113,2143968,2115418,217856,246406
11/1/2022,278418,453481,85914,1747092,1549752,2111424,2089147,225287,247564
11/8/2022,263541,440600,93033,1734712,1536475,2091286,2070108,227609,248787
11/15/2022,257965,460610,89834,1756097,1552959,2103896,2103403,239613,240106
11/22/2022,244703,436195,92194,1726436,1531249,2063333,2059638,240744,244439
11/29/2022,243451,447627,88619,1740696,1539012,2072766,2075258,241761,239269
12/6/2022,230914,434633,84456,1728465,1531843,2043835,2050932,243856,236759
12/13/2022,226507,456629,153937,1816921,1604195,2197365,2214761,279775,262379
12/20/2022,248641,408393,43216,1461519,1300800,1753376,1752409,233471,234438
12/27/2022,244976,419257,44176,1447282,1268296,1736434,1731729,224876,229581
1/3/2023,261260,428561,42072,1474811,1308259,1778143,1778892,232853,232104
1/10/2023,243503,456677,39184,1512933,1310000,1795620,1805861,236946,226705
1/17/2023,260337,487155,43149,1518121,1286958,1821607,1817262,234865,239210
1/24/2023,250474,459465,44212,1485629,1282864,1780315,1786541,244122,237896
1/31/2023,253439,475696,43283,1519069,1284283,1815791,1803262,245628,258157
2/7/2023,248117,465662,45346,1513813,1298937,1807276,1809945,245810,243141
2/14/2023,242274,488728,46403,1528879,1277744,1817556,1812875,258791,263472
2/21/2023,231808,466099,48500,1542524,1301371,1822832,1815970,251654,258516
2/28/2023,247954,431845,49719,1566253,1381387,1863926,1862951,249233,250208
3/7/2023,228302,437784,48465,1622309,1384632,1899076,1870881,234093,262288
3/14/2023,233300,353119,132766,1870087,1686883,2236153,2172768,314831,378216
3/21/2023,203125,405605,58792,1681318,1414863,1943235,1879260,205770,269745
