Date,NC LONG,NC SHORT,NC SPREAD,C LONG,C SHORT,TOT LONG,TOT SHORT,NR LONG,NR SHORT
2022-05-03,49991,8203,0,8280,51651,58271,59854,3278,1695
2022-05-10,48835,8057,91,9454,51485,58380,59633,3070,1817
2022-05-17,42989,4894,93,9470,48906,52552,53893,3438,2097
2022-05-24,45076,6362,942,14132,54633,60150,61937,3826,2039
2022-05-31,52896,7580,283,16595,64265,69774,72128,4372,2018
2022-06-07,58657,11952,3,9780,58734,68440,70689,3931,1682
2022-06-14,58023,10810,0,8711,57169,66734,67979,3197,1952
2022-06-21,55599,11254,1,10020,56016,65620,67271,3238,1587
2022-06-28,43088,6060,21,13691,52222,56800,58303,3307,1804
2022-07-05,24261,7928,344,11776,29174,36381,37446,3089,2024
2022-07-12,19197,8992,2,18878,29746,38077,38740,2957,2294
2022-07-19,20600,10125,191,18569,30149,39360,40465,3092,1987
2022-07-26,20614,8902,632,17103,29713,38349,39247,3296,2398
2022-08-02,10562,11692,17,7500,8061,18079,19770,3115,1424
2022-08-09,13635,11902,1,8440,12324,22076,24227,3405,1254
2022-08-16,25762,19239,1,8637,17296,34400,36536,3679,1543
2022-08-23,27980,21615,21,8609,17105,36610,38741,3591,1460
2022-08-30,30443,21584,1,32719,43641,63163,65226,3543,1480
2022-09-06,39451,8591,3,7177,39659,46631,48253,3374,1752
2022-09-13,42192,9239,1,6186,40763,48379,50003,3203,1579
2022-09-20,41979,9610,2,6410,40481,48391,50093,3109,1407
2022-09-27,39486,5722,376,12907,47938,52769,54036,3161,1894
2022-10-04,28894,3115,235,7920,35490,37049,38840,2935,1144
2022-10-11,28829,2754,652,8697,36663,38178,40069,3182,1291
2022-10-18,30326,3828,1,8229,36810,38556,40639,3398,1315
2022-10-25,31835,2656,1022,7041,38631,39898,42309,3746,1335
2022-11-01,38325,9168,390,13328,42467,52043,52025,6246,6264
2022-11-08,18306,13805,19,5219,12992,23544,26816,4502,1230
2022-11-15,16397,7379,344,1986,14390,18727,22113,4742,1356
2022-11-22,18943,10207,375,4861,15051,24179,25633,3569,2115
2022-11-29,16500,8863,350,11541,21200,28391,30413,3666,1644
2022-12-06,14625,12427,2,7271,11595,21898,24024,3566,1440
2022-12-13,23161,19702,0,7574,13134,30735,32836,3455,1354
2022-12-20,22683,20447,0,8996,12771,31679,33218,3624,2085
2022-12-27,32677,25262,70,24002,33432,56749,58764,4086,2071
2023-01-03,32105,3894,7,2779,32427,34891,36328,3096,1659
2023-01-10,25210,3509,336,4322,27896,29868,31741,3561,1688
2023-01-17,32429,10236,5,4270,28018,36704,38259,4096,2541
2023-01-24,35691,12906,5,5847,29465,41543,42376,3585,2752
2023-01-31,39609,18012,221,28490,50833,68320,69066,3776,3030
2023-02-07,42140,8764,0,6565,41161,48705,49925,3533,2313
2023-02-14,36351,4409,0,7715,41042,44066,45451,3374,1989
2023-02-21,35137,4604,20,8357,40472,43514,45096,3733,2151
2023-02-28,33919,2097,210,9281,42753,43410,45060,4219,2569
2023-03-07,32053,1942,0,5386,38612,37439,40554,4663,1548
2023-03-14,30530,2259,11,6194,37988,36735,40258,5022,1499
2023-03-21,27681,2824,0,7401,38176,35082,41000,7140,1222
2023-03-28,25968,2485,35,8231,38753,34234,41273,8429,1390
2023-04-04,24576,10573,0,6964,22526,31540,33099,3704,2145
2023-04-11,30795,17850,143,8916,23509,39854,41502,4132,2484
2023-04-18,37991,24395,0,9365,24143,47356,48538,4527,3345
2023-04-25,39668,22849,152,34986,51329,74806,74330,3942,4418
2023-05-02,39812,4351,19,6475,42399,46306,46769,3756,3293
