Date,NC LONG,NC SHORT,NC SPREAD,C LONG,C SHORT,TOT LONG,TOT SHORT,NR LONG,NR SHORT
2022-05-03,44670,35641,3387,72629,85588,120686,124616,32093,28163
2022-05-10,38679,44086,4235,75215,72276,118129,120597,32880,30412
2022-05-17,36069,50565,4463,79825,67234,120357,122262,31228,29323
2022-05-24,28999,41686,2508,74953,68020,106460,112214,32048,26294
2022-05-31,30520,37527,2743,70006,70333,103269,110603,32660,25326
2022-06-07,39288,40350,16578,74044,87445,129910,144373,37463,23000
2022-06-14,56550,33348,10248,79064,109348,145862,152944,29357,22275
2022-06-21,42260,38155,1692,67084,73662,111036,113509,29011,26538
2022-06-28,45893,36796,1747,65407,77654,113047,116197,29537,26387
2022-07-05,45365,41072,1718,67829,72362,114912,115152,30460,30220
2022-07-12,41613,38108,1177,64673,69326,107463,108611,31834,30686
2022-07-19,42040,35373,1747,67038,75784,110825,112904,31391,29312
2022-07-26,46414,30645,2109,61869,84066,110392,116820,33790,27362
2022-08-02,48342,28065,2824,59355,89762,110521,120651,35393,25263
2022-08-09,46898,25675,3142,59798,89541,109838,118358,33808,25288
2022-08-16,51843,24976,4148,58476,90605,114467,119729,33129,27867
2022-08-23,53617,30390,3663,61209,90892,118489,124945,34196,27740
2022-08-30,58704,34525,2640,61821,90860,123165,128025,35000,30140
2022-09-06,57185,39275,3858,66485,85401,127528,128534,33039,32033
2022-09-13,48102,35677,3655,66866,80342,118623,119674,30933,29882
2022-09-20,47913,45857,5128,73298,72406,126339,123391,33975,36923
2022-09-27,33677,51343,1967,75267,53560,110911,106870,29978,34019
2022-10-04,36246,57653,1928,70624,52677,108798,112258,33001,29541
2022-10-11,32476,58148,2459,77929,50563,112864,111170,31136,32830
2022-10-18,35384,55957,2638,78895,53792,116917,112387,29508,34038
2022-10-25,35607,53762,2623,74064,56011,112294,112396,31123,31021
2022-11-01,38522,56171,3084,74352,55077,115958,114332,31212,32838
2022-11-08,39586,58050,1849,75750,57820,117185,117719,30370,29836
2022-11-15,37456,50376,1646,70173,55944,109275,107966,30478,31787
2022-11-22,36733,48405,2247,65508,52844,104488,103496,30413,31405
2022-11-29,35123,51239,1852,66304,52353,103279,105444,33375,31210
2022-12-06,30717,52807,7811,79379,56474,117907,117092,30984,31799
2022-12-13,31720,58968,18153,87471,62547,137344,139668,32089,29765
2022-12-20,39705,66666,11388,94996,72010,146089,150064,34768,30793
2022-12-27,28879,58912,2766,78624,50198,110269,111876,30275,28668
2023-01-03,25497,52263,4004,77624,53083,107125,109350,31870,29645
2023-01-10,22166,53121,3379,75060,47795,100605,104295,33283,29593
2023-01-17,20897,48156,3851,75387,47899,100135,99906,32211,32440
2023-01-24,25978,56690,3000,77571,48412,106549,108102,30927,29374
2023-01-31,26404,56588,3082,77299,49662,106785,109332,33382,30835
2023-02-07,33292,66383,2742,80689,48743,116723,117868,32898,31753
2023-02-14,24466,59960,2452,88778,52420,115696,114832,33363,34227
2023-02-21,21889,59392,4551,90489,50736,116929,114679,34967,37217
2023-02-28,31599,67673,4634,97390,58930,133623,131237,31474,33860
2023-03-07,62108,91310,7707,104046,64577,173861,163594,29955,40222
2023-03-14,60738,92453,5197,146380,110011,212315,207661,32106,36760
2023-03-21,18812,75633,1858,127798,63349,148468,140840,29717,37345
2023-03-28,19672,76497,1858,124285,60868,145815,139223,30744,37336
2023-04-04,16607,75116,2565,118790,60642,137962,138323,31176,30815
2023-04-11,16914,73493,2333,116537,58332,135784,134158,29091,30717
2023-04-18,17806,64039,1819,96421,54227,116046,120085,32592,28553
2023-04-25,24295,68086,3710,93784,47906,121789,119702,29997,32084
2023-05-02,27899,77995,3766,110317,53730,141982,135491,29072,35563
2023-05-09,29609,71872,3867,94662,52705,128138,128444,31226,30920
2023-05-16,28514,71504,3825,98089,53556,130428,128885,30767,32310
2023-05-23,20388,68914,4088,103597,54457,128073,127459,31126,31740
2023-05-30,37619,67533,7579,107243,68206,152441,143318,27430,36553
2023-06-06,21709,60038,8975,106003,67547,136687,136560,31338,31465
2023-06-13,15536,52204,16804,98335,68959,130675,137967,36557,29265
2023-06-20,28187,61730,2594,114925,96167,145706,160491,38400,23615
2023-06-27,50307,53154,2296,73407,90141,126010,145591,41788,22207
2023-07-03,44178,39651,2908,73437,92252,120523,134811,35761,21473
2023-07-11,35072,30628,3523,68935,82961,107530,117112,32865,23283
2023-07-18,33877,33356,2554,73833,86824,110264,122734,35907,23437
2023-07-25,42759,37229,684,73539,95635,116982,133548,39413,22847
2023-08-01,36278,29913,2461,72951,96220,111690,128594,40916,24012
