Date,NC LONG,NC SHORT,NC SPREAD,C LONG,C SHORT,TOT LONG,TOT SHORT,NR LONG,NR SHORT
2022-05-03,85562,49003,46343,107815,151092,239720,246438,15602,8884
2022-05-10,87140,66094,53139,124216,150986,264495,270219,17042,11318
2022-05-17,87225,68642,58039,129740,153408,275004,280089,16687,11602
2022-05-24,89159,80576,59542,132424,145964,281125,286082,16784,11827
2022-05-31,92946,82793,64366,131539,145861,288851,293020,16931,12762
2022-06-07,89997,75503,55902,125905,143728,271804,275133,14861,11532
2022-06-14,90712,94081,61551,142236,142362,294499,297994,18389,14894
2022-06-21,93606,90301,66806,135958,140814,296370,297921,12977,11426
2022-06-28,91654,85315,64006,134441,143149,290101,292470,13610,11241
2022-07-05,94360,101475,60285,146524,141237,301169,302997,14461,12633
2022-07-12,90985,95165,60638,141970,139868,293593,295671,14013,11935
2022-07-19,94072,94674,61867,140649,141677,296588,298218,13132,11502
2022-07-26,94825,91417,65478,139108,144242,299411,301137,13968,12242
2022-08-02,92787,94744,66130,144155,144091,303072,304965,12923,11030
2022-08-09,92797,98359,55899,146523,144371,295219,298629,14847,11437
2022-08-16,89997,92775,49936,146704,146524,286637,289235,13549,10951
2022-08-23,92093,93243,48624,138539,141152,279256,283019,14255,10492
2022-08-30,96892,88581,47499,131596,144564,275987,280644,13945,9288
2022-09-06,93816,89352,47022,137463,144687,278301,281061,13152,10392
2022-09-13,98670,104544,47430,140388,138471,286488,290445,14705,10748
2022-09-20,97755,103696,49101,138572,135793,285428,288590,13754,10592
2022-09-27,102300,112059,54259,141689,136029,298248,302347,14973,10874
2022-10-04,103083,102919,61924,138162,140377,303169,305220,12244,10193
2022-10-11,98173,84487,58274,129248,145578,285695,288339,12958,10314
2022-10-18,95953,84735,54949,140015,152460,290917,292144,12138,10911
2022-10-25,96233,97778,56661,141758,142214,294652,296653,12844,10843
2022-11-01,93338,101579,61294,148016,142206,302648,305079,12627,10196
2022-11-08,92594,80646,47031,130491,145797,270116,273474,12348,8990
2022-11-15,85052,59209,45614,120925,149522,251591,254345,11816,9062
2022-11-22,82178,66894,44094,117300,136012,243572,247000,11113,7685
2022-11-29,80762,71064,43603,123639,136961,248004,251628,11404,7780
2022-12-06,83808,65844,40348,122383,144096,246539,250288,11758,8009
2022-12-13,84900,61583,46157,123825,150494,254882,258234,11260,7908
2022-12-20,78436,60685,48467,129830,151660,256733,260812,11979,7900
2022-12-27,88895,57992,50756,117892,154030,257543,262778,12839,7604
2023-01-03,87974,60136,57501,121844,153822,267319,271459,12987,8847
2023-01-10,94218,66997,57780,132109,163308,284107,288085,13616,9638
2023-01-17,97065,69367,55592,138394,169549,291051,294508,13026,9569
2023-01-24,90986,66045,50973,138394,167372,280353,284390,12460,8423
2023-01-31,93440,68281,52910,142793,170611,289143,291802,12252,9593
2023-02-07,81654,59223,51893,137559,160757,271106,271873,11831,11064
2023-02-14,84588,55730,55153,131066,164749,270807,275632,13082,8257
2023-02-21,105772,59687,57344,117967,169561,281083,286592,14353,8844
2023-02-28,120827,65414,71470,121075,180888,313372,317772,14136,9736
2023-03-07,123938,69238,79536,127206,186214,330680,334988,14578,10270
2023-03-14,103347,71328,89002,145174,181288,337523,341618,15410,11315
2023-03-21,96676,58830,89605,143115,185751,329396,334186,15642,10852
2023-03-28,121238,59965,100527,135582,201000,357347,361492,16709,12564
2023-04-04,127043,66798,113129,146541,210768,386713,390695,16086,12104
2023-04-11,126337,66424,84170,120838,185913,331345,336507,16466,11304
2023-04-18,131355,72000,73223,110050,174193,314628,319416,15617,10829
2023-04-25,135292,73578,70579,99730,165981,305601,310138,15048,10511
2023-05-02,133286,75335,72742,101609,164080,307637,312157,15259,10739
2023-05-09,135851,73822,76596,100185,166989,312632,317407,14609,9834
2023-05-16,138038,73983,80939,98641,167835,317618,322757,15125,9986
2023-05-23,142438,77064,79919,97452,168197,319809,325180,15901,10530
2023-05-30,142385,76812,78960,100654,171703,321999,327475,16614,11138
2023-06-06,147856,75622,78961,92990,169539,319807,324122,15922,11607
2023-06-13,154716,76777,81336,81976,164190,318028,322303,15016,10741
2023-06-20,152239,84897,78811,95151,167119,326201,330827,14724,10098
2023-06-27,152492,80940,80793,92569,168384,325854,330117,13978,9715
2023-07-03,151319,78735,89925,90381,165975,331625,334635,14031,11021
2023-07-11,145055,74940,95978,94707,169095,335740,340013,14187,9914
2023-07-18,145705,69217,95066,98622,179586,339393,343869,14265,9789
2023-07-25,146650,68756,99856,98702,180042,345208,348654,13174,9728
2023-08-01,146193,67979,93971,97505,179007,337669,340957,13286,9998
2023-08-08,138107,58605,68628,78506,160107,285241,287340,10371,8272
2023-08-15,127724,50599,58221,77864,158562,263809,267382,10505,6932
2023-08-22,128946,51973,55969,78105,158201,263020,266143,11265,8142
2023-08-29,133540,50319,63257,79122,165810,275919,279386,12158,8691
2023-09-05,137720,51500,64195,75136,165348,277051,281043,13139,9147
2023-09-12,140004,52381,71009,73434,164927,284447,288317,13097,9227
2023-09-19,138297,50035,71390,74473,166090,284160,287515,12962,9607
2023-09-26,130061,51523,69553,81053,162420,280667,283496,12906,10077
2023-10-03,117419,47486,69547,84488,157349,271454,274382,12822,9894
2023-10-10,112577,44701,70268,85385,156876,268230,271845,13323,9708
2023-10-17,116246,44754,73943,80997,156553,271186,275250,13748,9684
2023-10-24,128611,51591,85456,83207,163167,297274,300214,14982,12042
2023-10-31,128136,58659,84156,82848,154954,295140,297769,14576,11947
2023-11-07,129230,54203,79646,83711,161810,292587,295659,15614,12542
2023-11-14,129944,54160,73784,81118,159243,284846,287187,13726,11385
2023-11-21,128894,56055,68106,66433,141854,263433,266015,15247,12665
2023-11-28,129235,57589,70683,71629,145406,271547,273678,14652,12521
2023-12-05,122246,55335,70184,73390,143383,265820,268902,15894,12812
2023-12-12,118747,51444,78367,79020,149672,276134,279483,16150,12801
2023-12-19,119599,50195,85330,74753,145677,279682,281202,15519,13999
2023-12-26,117678,50180,93134,75849,145341,286661,288655,15641,13647
2024-01-02,120180,51226,99859,78579,148008,298618,299093,15368,14893
2024-01-09,119536,50655,98045,84761,152184,302342,300884,15778,17236
2024-01-16,126075,55878,100176,81839,154154,308090,310208,17499,15381
2024-01-23,133861,58105,100138,81903,160388,315902,318631,17767,15038
2024-01-30,126534,54840,98104,84962,160962,309600,313906,17615,13309
2024-02-06,116754,58640,88357,94279,157608,299390,304605,18293,13078
2024-02-13,95562,46211,74186,85415,140237,255163,260634,16442,10971
2024-02-20,89680,41554,68363,76177,128774,234220,238691,15889,11418
2024-02-27,81552,40364,56411,68544,115415,206507,212190,14358,8675
2024-03-05,76569,33266,53398,63420,111643,193387,198307,13916,8996
2024-03-12,75301,29529,61309,59269,110286,195879,201124,14812,9567
2024-03-19,73188,27606,57394,63093,114375,193675,199375,13493,7793
2024-03-26,63631,27301,55317,68679,111056,187627,193674,13682,7635
2024-04-02,59653,25982,45246,64498,104400,169397,175628,14675,8444
2024-04-09,58112,23204,36585,56707,97725,151404,157514,14165,8055
