Date,NC LONG,NC SHORT,NC SPREAD,C LONG,C SHORT,TOT LONG,TOT SHORT,NR LONG,NR SHORT
2022-05-03,13061,32242,1152,52518,33476,66731,66870,12717,12578
2022-05-10,13236,36394,77,55879,32306,69192,68777,13748,14163
2022-05-17,14551,38039,377,53273,27576,68201,65992,11996,14205
2022-05-24,15355,39427,172,55756,29485,71283,69084,11737,13936
2022-05-31,14200,40317,390,58809,29053,73399,69760,11083,14722
2022-06-07,15174,35613,788,53680,27165,69642,63566,10768,16844
2022-06-14,14494,36783,3962,61935,37504,80391,78249,13192,15334
2022-06-21,10310,35783,130,48166,19229,58606,55142,10418,13882
2022-06-28,9011,34084,711,47089,17414,56811,52209,9948,14550
2022-07-05,11053,34136,610,45425,17871,57088,52617,10349,14820
2022-07-12,13674,33517,576,43227,17592,57477,51685,9777,15569
2022-07-19,17567,33404,672,42667,21683,60906,55759,10371,15518
2022-07-26,15955,37140,405,46903,19797,63263,57342,10025,15946
2022-08-02,16161,34582,820,45385,22425,62366,57827,10253,14792
2022-08-09,20008,32718,502,44527,27359,65037,60579,10357,14815
2022-08-16,23215,30180,741,43795,34429,67751,65350,13286,15687
2022-08-23,25478,30072,1113,41953,37034,68544,68219,12235,12560
2022-08-30,26724,28144,1058,38005,34978,65787,64180,11643,13250
2022-09-06,23230,32838,882,40613,30227,64725,63947,12001,12779
2022-09-13,20662,32348,6550,53298,39776,80510,78674,12067,13903
2022-09-20,15316,30750,247,38240,22400,53803,53397,11687,12093
2022-09-27,14309,33539,524,40632,20204,55465,54267,11590,12788
2022-10-04,13187,29688,1400,38934,21786,53521,52874,13131,13778
2022-10-11,15135,28885,1562,37486,20871,54183,51318,11748,14613
2022-10-18,14221,31071,1999,43241,22509,59461,55579,9774,13656
2022-10-25,16159,30029,1085,42545,23786,59789,54900,10930,15819
2022-11-01,20522,28719,130,43408,27280,64060,56129,11755,19686
2022-11-08,21252,29595,982,43685,27930,65919,58507,11831,19243
2022-11-15,15004,25614,566,45583,29283,61153,55463,12680,18370
2022-11-22,20669,27060,992,45161,31020,66822,59072,12444,20194
2022-11-29,21216,27358,1517,43885,31005,66618,59880,12465,19203
2022-12-06,21978,33581,2562,44756,25657,69296,61800,12481,19977
2022-12-13,23411,35953,9711,59477,39228,92599,84892,13855,21562
2022-12-20,25052,31495,497,35057,24685,60606,56677,11999,15928
2022-12-27,23473,35518,1125,37643,22686,62241,59329,12709,15621
2023-01-03,25248,37139,2042,40900,24861,68190,64042,11541,15689
2023-01-10,25943,35085,2269,37120,24473,65332,61827,12296,15801
2023-01-17,25847,36460,3211,39948,27658,69006,67329,13654,15331
2023-01-24,21106,31072,3153,39500,27273,63759,61498,13893,16154
2023-01-31,21339,30767,3627,41874,29797,66840,64191,13546,16195
